transaction_id,user_id,amount,merchant,category,timestamp,location,payment_status
TXN-001035,U0098,12.62,Subway,Food,2025-10-12T05:57,"Toronto, Canada",Completed
TXN-001177,U0058,77.66,Kraken,Crypto,2025-08-12T03:58,"Seattle, USA",Completed
TXN-000068,U0074,104.14,PG&E,Bills,2026-01-05T23:49,"San Francisco, USA",Completed
TXN-001331,U0133,80.0,Chase ATM,ATM,2025-06-01T21:13,"Los Angeles, USA",Completed
TXN-000651,U0017,56.76,Apple Store,Shopping,2025-09-25T07:50,"Seattle, USA",Completed
TXN-001869,U0058,54.33,Starbucks,Food,2026-04-20T21:07,"Chicago, USA",Completed
TXN-000987,U0017,47.28,Walmart,Shopping,2025-08-22T22:55,"Austin, USA",Completed
TXN-000553,U0081,231.98,Delta Airlines,Travel,2025-12-31T02:04,"San Francisco, USA",Completed
TXN-001428,U0099,69.34,Trader Joe's,Groceries,2025-07-18T02:50,"Los Angeles, USA",Completed
TXN-001669,U0136,153.46,Target,Shopping,2026-03-15T05:39,"Los Angeles, USA",Completed
TXN-001575,U0092,17.14,Target,Shopping,2025-11-14T00:15,"Austin, USA",Completed
TXN-001318,U0149,75.16,Kroger,Groceries,2025-09-03T23:50,"Seattle, USA",Completed
TXN-000495,U0092,47.49,Chipotle,Food,2026-04-30T02:25,"Los Angeles, USA",Pending
TXN-001979,U0120,200.0,Bank of America ATM,ATM,2026-01-30T09:33,"Austin, USA",Completed
TXN-001761,U0084,37.73,Walmart,Shopping,2025-05-25T21:04,"Austin, USA",Completed
TXN-000866,U0020,71.39,Coinbase,Crypto,2025-10-21T06:37,"Chicago, USA",Completed
TXN-000530,U0120,16.23,Local Deli,Food,2025-10-02T21:25,"Seattle, USA",Completed
TXN-001502,U0021,128.49,Walmart,Shopping,2025-10-15T00:26,"Seattle, USA",Completed
TXN-000071,U0098,120.0,Wells Fargo ATM,ATM,2026-05-16T21:58,"Chicago, USA",Pending
TXN-001849,U0145,52.73,Target,Shopping,2026-05-13T01:27,"Berlin, Germany",Completed
TXN-001449,U0004,37.02,Local Deli,Food,2026-03-11T22:55,"Los Angeles, USA",Completed
TXN-000572,U0121,31.04,Costco,Groceries,2025-07-08T03:32,"Los Angeles, USA",Completed
TXN-000421,U0091,99.34,Costco,Groceries,2026-03-23T21:49,"Dubai, UAE",Completed
TXN-000949,U0068,74.23,Safeway,Groceries,2025-10-17T05:43,"Chicago, USA",Completed
TXN-001421,U0091,78.88,Kroger,Groceries,2026-01-07T23:02,"Tokyo, Japan",Completed
TXN-SUSP-00008,U0127,2226.83,Offshore Exchange,Travel,2026-02-10T03:36,Singapore,Completed
TXN-001194,U0140,88.11,Whole Foods,Groceries,2025-07-28T06:27,"San Francisco, USA",Failed
TXN-001572,U0120,34.39,Apple Store,Shopping,2025-09-10T05:17,"San Francisco, USA",Pending
TXN-001193,U0042,56.95,Amazon,Shopping,2025-07-30T03:45,"New York, USA",Completed
TXN-000584,U0036,208.54,Kraken,Crypto,2026-05-22T09:51,"Los Angeles, USA",Completed
TXN-000052,U0131,57.09,Target,Shopping,2025-06-30T05:26,"Austin, USA",Failed
TXN-001445,U0051,8.44,Lyft,Travel,2025-06-04T22:05,"Chicago, USA",Completed
TXN-001288,U0048,10.05,Local Deli,Food,2025-06-23T04:29,"Los Angeles, USA",Failed
TXN-001125,U0131,9.01,Starbucks,Food,2026-04-02T11:28,"Seattle, USA",Completed
TXN-000030,U0139,200.0,Bank of America ATM,ATM,2026-03-03T00:07,"Los Angeles, USA",Pending
TXN-001221,U0048,64.89,Amazon,Shopping,2025-05-28T09:00,"Austin, USA",Completed
TXN-000480,U0002,92.77,Kroger,Groceries,2025-08-30T21:47,"Seattle, USA",Completed
TXN-001375,U0118,64.75,Whole Foods,Groceries,2025-09-25T22:01,"San Francisco, USA",Completed
TXN-001088,U0140,68.22,Costco,Groceries,2025-08-31T01:58,"London, UK",Completed
TXN-000232,U0044,16.69,DoorDash,Food,2026-04-04T23:36,"Chicago, USA",Completed
TXN-001260,U0004,104.4,Netflix,Bills,2025-07-16T01:50,"Seattle, USA",Completed
TXN-000213,U0128,15.99,Best Buy,Shopping,2025-12-09T07:15,"Seattle, USA",Completed
TXN-000308,U0074,94.18,Amazon,Shopping,2026-02-21T05:38,"New York, USA",Completed
TXN-000728,U0015,83.81,Delta Airlines,Travel,2026-01-17T11:03,"Los Angeles, USA",Completed
TXN-001363,U0013,60.0,Bank of America ATM,ATM,2026-04-07T00:05,"Los Angeles, USA",Completed
TXN-000448,U0004,8.05,Delta Airlines,Travel,2026-02-16T12:02,"Los Angeles, USA",Completed
TXN-000382,U0018,48.86,Walmart,Shopping,2026-01-21T23:05,"New York, USA",Completed
TXN-001339,U0032,64.72,Spotify,Bills,2025-07-17T00:33,"New York, USA",Completed
TXN-000695,U0034,46.04,Costco,Groceries,2025-08-11T03:10,"San Francisco, USA",Completed
TXN-000568,U0059,40.77,DoorDash,Food,2026-03-30T00:46,"Austin, USA",Completed
TXN-000589,U0133,76.89,Netflix,Bills,2025-05-31T03:58,"San Francisco, USA",Completed
TXN-001573,U0083,283.8,Lyft,Travel,2026-01-24T01:33,"Austin, USA",Completed
TXN-001947,U0028,56.0,Amazon,Shopping,2025-06-15T23:21,"Chicago, USA",Completed
TXN-001688,U0131,47.7,Local Deli,Food,2025-11-26T12:20,"New York, USA",Completed
TXN-001420,U0149,60.16,Amazon,Shopping,2026-03-10T09:04,"Austin, USA",Completed
TXN-001392,U0023,116.3,Netflix,Bills,2025-11-26T03:51,"San Francisco, USA",Pending
TXN-000121,U0039,26.24,Subway,Food,2026-05-22T09:28,"Chicago, USA",Completed
TXN-000745,U0120,132.18,Verizon,Bills,2026-01-14T06:47,"Chicago, USA",Pending
TXN-001776,U0055,20.49,DoorDash,Food,2026-05-08T23:02,"New York, USA",Pending
TXN-001932,U0041,94.53,Trader Joe's,Groceries,2026-01-26T10:45,"San Francisco, USA",Completed
TXN-001805,U0052,148.42,PG&E,Bills,2026-04-10T10:07,"San Francisco, USA",Completed
TXN-001104,U0045,66.71,Netflix,Bills,2025-11-19T06:29,"Austin, USA",Completed
TXN-001700,U0127,14.12,Local Deli,Food,2025-11-29T00:34,"Seattle, USA",Completed
TXN-000786,U0048,86.67,Apple Store,Shopping,2025-08-28T00:48,"San Francisco, USA",Completed
TXN-SUSP-00073,U0043,3153.48,Unverified Marketplace,Travel,2026-04-14T04:26,"Tokyo, Japan",Completed
TXN-000565,U0065,80.15,Best Buy,Shopping,2025-11-28T23:37,"Austin, USA",Completed
TXN-000975,U0038,137.01,Comcast,Bills,2025-06-08T03:34,"Seattle, USA",Completed
TXN-SUSP-00036,U0039,4909.88,Night ATM,Travel,2026-02-10T04:12,"Dubai, UAE",Pending
TXN-000619,U0102,126.44,Target,Shopping,2026-05-24T05:42,"San Francisco, USA",Completed
TXN-000252,U0135,90.31,Binance,Crypto,2025-06-21T12:14,"Seattle, USA",Completed
TXN-000298,U0063,13.7,Chipotle,Food,2025-07-25T13:02,"Seattle, USA",Completed
TXN-000367,U0073,149.7,Binance,Crypto,2026-02-03T05:24,"Austin, USA",Completed
TXN-000412,U0032,80.0,Bank of America ATM,ATM,2025-07-30T00:01,"New York, USA",Completed
TXN-000539,U0112,38.1,Subway,Food,2025-07-18T03:38,"Seattle, USA",Pending
TXN-000234,U0147,28.75,Local Deli,Food,2025-10-08T03:53,"Austin, USA",Completed
TXN-001583,U0123,8.69,Chipotle,Food,2025-08-12T08:04,"San Francisco, USA",Completed
TXN-000101,U0121,8.89,Starbucks,Food,2025-12-21T11:48,"San Francisco, USA",Completed
TXN-000368,U0026,153.4,Airbnb,Travel,2025-11-16T22:06,"Seattle, USA",Completed
TXN-001943,U0019,80.0,Bank of America ATM,ATM,2026-02-25T07:13,"San Francisco, USA",Pending
TXN-001437,U0058,19.34,Local Deli,Food,2026-02-26T07:05,"Los Angeles, USA",Completed
TXN-000112,U0049,38.38,Local Deli,Food,2026-01-17T10:07,"Chicago, USA",Completed
TXN-000255,U0144,60.0,Wells Fargo ATM,ATM,2025-06-26T01:37,"Austin, USA",Completed
TXN-000887,U0037,17.71,Subway,Food,2026-02-16T23:11,"Austin, USA",Completed
TXN-001051,U0133,67.4,Apple Store,Shopping,2026-01-19T12:27,"Los Angeles, USA",Completed
TXN-001665,U0100,37.71,Best Buy,Shopping,2026-03-25T12:06,"Seattle, USA",Completed
TXN-001550,U0055,70.26,Costco,Groceries,2026-02-21T00:00,"Tokyo, Japan",Pending
TXN-001687,U0082,57.74,Whole Foods,Groceries,2026-01-31T08:51,"Austin, USA",Completed
TXN-001475,U0076,92.88,Costco,Groceries,2025-12-20T08:34,"Seattle, USA",Completed
TXN-000362,U0016,61.37,Whole Foods,Groceries,2025-08-03T11:02,"Toronto, Canada",Completed
TXN-001429,U0019,27.92,Local Deli,Food,2025-10-01T00:06,"Austin, USA",Completed
TXN-000556,U0020,6.97,Local Deli,Food,2025-09-03T05:50,"Seattle, USA",Completed
TXN-000185,U0087,21.4,Target,Shopping,2025-12-10T10:53,"Seattle, USA",Completed
TXN-000211,U0010,107.96,Best Buy,Shopping,2026-02-28T12:20,"Los Angeles, USA",Completed
TXN-000479,U0052,214.3,Crypto.com,Crypto,2025-05-27T22:38,"Seattle, USA",Pending
TXN-001342,U0003,70.7,Safeway,Groceries,2025-08-16T02:23,"London, UK",Completed
TXN-000850,U0142,91.13,Amazon,Shopping,2026-01-25T22:12,"New York, USA",Completed
TXN-001965,U0105,157.48,Best Buy,Shopping,2025-10-15T02:18,"Austin, USA",Completed
TXN-001068,U0011,29.99,Target,Shopping,2025-08-17T00:33,"Chicago, USA",Completed
TXN-000299,U0073,114.18,Walmart,Shopping,2026-03-04T07:53,"Austin, USA",Completed
TXN-000057,U0105,4.31,DoorDash,Food,2026-02-09T06:46,"Austin, USA",Completed
TXN-000536,U0133,25.65,DoorDash,Food,2026-02-26T06:05,"Los Angeles, USA",Completed
TXN-000110,U0103,81.5,Costco,Groceries,2025-12-22T12:22,"Los Angeles, USA",Completed
TXN-001212,U0148,79.77,Verizon,Bills,2025-09-24T23:14,"New York, USA",Completed
TXN-000351,U0100,16.7,DoorDash,Food,2026-05-16T01:36,"Austin, USA",Completed
TXN-000671,U0135,80.0,Wells Fargo ATM,ATM,2026-04-14T09:07,"New York, USA",Completed
TXN-000129,U0062,21.35,Chipotle,Food,2025-07-05T09:43,"Chicago, USA",Completed
TXN-000924,U0006,80.0,Bank of America ATM,ATM,2026-01-24T08:56,"Seattle, USA",Completed
TXN-000652,U0142,28.48,Apple Store,Shopping,2026-05-10T12:53,"San Francisco, USA",Completed
TXN-001595,U0099,248.11,Coinbase,Crypto,2025-08-25T10:38,"Los Angeles, USA",Completed
TXN-001917,U0047,65.46,Trader Joe's,Groceries,2025-12-03T22:23,"San Francisco, USA",Completed
TXN-000612,U0125,294.72,Walmart,Shopping,2026-04-13T07:54,"Austin, USA",Completed
TXN-001376,U0141,68.85,Netflix,Bills,2025-11-22T05:11,"New York, USA",Completed
TXN-001648,U0138,30.38,Spotify,Bills,2026-01-25T11:10,"Los Angeles, USA",Completed
TXN-001474,U0073,185.81,Airbnb,Travel,2025-07-01T11:00,"New York, USA",Completed
